bib,name,segment_time,rank,sex,year,secteur,end_checkpoint,start_checkpoint,filtrer_valeur_aberrante
4057,Florence CHARLOT,01:10:59,12,FEMALE,2023,Possession → Chaloupe,Chaloupe,Possession,False
4398,Nicolas MARCY,01:10:53,1,MALE,2024,Chaloupe → Colorado,Colorado,Chaloupe,False
4506,Antoine COMPAROT,01:13:04,2,MALE,2024,Chaloupe → Colorado,Colorado,Chaloupe,False
3172,Jean Charles BRETON,01:13:25,3,MALE,2024,Chaloupe → Colorado,Colorado,Chaloupe,False
3759,Alexandre DEPECHE,01:14:31,4,MALE,2024,Chaloupe → Colorado,Colorado,Chaloupe,False
3354,Orlan AYADEN,01:16:55,5,MALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
4457,Matis FUGIER,01:18:33,6,MALE,2024,Chaloupe → Colorado,Colorado,Chaloupe,False
4609,Ludovic JASMIN,01:18:49,7,MALE,2024,Chaloupe → Colorado,Colorado,Chaloupe,False
4632,Loïc BOYER,01:19:58,8,MALE,2023,Chaloupe → Colorado,Colorado,Chaloupe,False
3212,Arthur GOURBIERE,01:20:09,9,MALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
4302,Nirina HAJA,01:21:45,10,MALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
4186,Rivosoa Hobilalaina ANDRIANIRINA,01:21:47,11,MALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
4376,Mathieu COQUIERE,01:21:47,12,MALE,2024,Chaloupe → Colorado,Colorado,Chaloupe,False
3845,Axelle HENRY,01:29:30,1,FEMALE,2023,Chaloupe → Colorado,Colorado,Chaloupe,False
3285,Laure REBUFFET,01:30:18,2,FEMALE,2024,Chaloupe → Colorado,Colorado,Chaloupe,False
3436,Marine SECHET,01:31:52,3,FEMALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
3406,Laura GAMBLIN,01:31:54,4,FEMALE,2022,Chaloupe → Colorado,Colorado,Chaloupe,False
4073,Maëlys DEVOS,01:32:10,5,FEMALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
4527,Margaux BEYRE,01:33:33,6,FEMALE,2024,Chaloupe → Colorado,Colorado,Chaloupe,False
4094,Morgane LEFEUVRE,01:35:16,7,FEMALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
3507,Claire JACQUET,01:35:29,8,FEMALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
3731,Thaïs PIBOULEAU,01:35:48,9,FEMALE,2024,Chaloupe → Colorado,Colorado,Chaloupe,False
3394,Amélie HUCHET,01:38:11,10,FEMALE,2022,Chaloupe → Colorado,Colorado,Chaloupe,False
3874,Charlotte LANTENOIS,01:38:44,11,FEMALE,2022,Chaloupe → Colorado,Colorado,Chaloupe,False
3234,Anne-Laure ROUX,01:40:29,12,FEMALE,2022,Chaloupe → Colorado,Colorado,Chaloupe,False
3365,Noël GIORDANO,00:30:30,1,MALE,2022,Colorado → St Denis,St Denis,Colorado,False
4398,Nicolas MARCY,00:30:41,2,MALE,2024,Colorado → St Denis,St Denis,Colorado,False
4506,Antoine COMPAROT,00:31:19,3,MALE,2024,Colorado → St Denis,St Denis,Colorado,False
3691,Alexandre DEPECHE,00:31:45,4,MALE,2023,Colorado → St Denis,St Denis,Colorado,False
4361,Loic GAUVIN,00:32:50,5,MALE,2022,Colorado → St Denis,St Denis,Colorado,False
3172,Jean Charles BRETON,00:33:03,6,MALE,2024,Colorado → St Denis,St Denis,Colorado,False
