year,bib,race_name,distance,elevationGain,gender,indexCategory,rank,time,race_year,countryCode
2025,7096,trail du ventoux - le 46 origine,48000.0,2600,FEMALE,50K,963,08:26:33,2025,FR
2025,7096,21° trail du mont aigoual - la luzette - 22km,22000.0,720,FEMALE,20K,237,02:50:20,2024,FR
2025,7096,grands trails d'auvergne - initia -trail,14500.0,500,FEMALE,,144,01:52:43,2022,FR
2025,7099,trail verbier st bernard by UTMB - verbier marathon,42400.0,2940,MALE,50K,341,07:50:04,2025,CH
2025,7099,trail des brosses 2024 - tdb 50,50000.0,1200,MALE,50K,53,05:16:25,2024,FR
2025,7099,restonica trail by UTMB - tavignanu trail,33000.0,2270,MALE,50K,157,05:39:14,2024,FR
2025,7099,trail des marcaires - defi de muhlbach,32000.0,1600,MALE,20K,103,04:27:08,2024,FR
2025,7099,trail des passerelles du monteynard - trail de côte rouge,26000.0,1240,MALE,20K,147,03:13:18,2023,FR
2025,7099,trail des maures - trail des balcons des maures,22000.0,1120,MALE,20K,111,02:48:39,2023,FR
2025,7099,l'infernal trail des vosges - it 30,33700.0,1125,MALE,20K,188,04:01:47,2022,FR
2025,7099,marathon du mont-blanc - 23 km du mont-blanc,24400.0,1657,MALE,20K,328,03:37:27,2022,FR
2025,7099,trail de la vallée des lacs -  la géromée,18000.0,820,MALE,20K,67,02:03:49,2022,FR
2025,7103,le grand raid de la réunion - zembrocal trail relais4,54200.0,2090,MALE,50K,81,07:10:35,2021,FR
2025,7104,grand trail de la vallée d'ossau - solo,72000.0,4600,MALE,100K,330,17:08:06,2024,FR
2025,7104,senpereko trail - gotorlekuen itzulia 42km,41900.0,2525,MALE,50K,579,08:48:59,2024,FR
2025,7104,doi inthanon by UTMB - palace 20,25000.0,1290,MALE,20K,382,04:48:44,2023,TH
2025,7106,le grand raid de la réunion - trail de bourbon,101000.0,5835,MALE,100K,609,30:43:15,2024,FR
2025,7106,raid 974 - semi-raid 974,57000.0,2800,MALE,50K,344,14:51:23,2024,FR
