bib,name,segment_time,rank,sex,year,secteur,end_checkpoint,start_checkpoint,filtrer_valeur_aberrante
660,Marion FORTIN,01:26:14,12,FEMALE,2024,Possession → Chaloupe,Chaloupe,Possession,False
1788,Noa OHMS,01:18:02,1,MALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
649,Sacha FOUCHER,01:25:06,2,MALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
2732,Ludovic POMMERET,01:25:43,3,MALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
2728,Baptiste CHASSAGNE,01:25:57,4,MALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
317,Mathieu BLANCHARD,01:26:06,5,MALE,2024,Chaloupe → Colorado,Colorado,Chaloupe,False
2610,Ben DHIMAN,01:26:49,6,MALE,2022,Chaloupe → Colorado,Colorado,Chaloupe,False
2199,Fabrice PAYET,01:28:38,7,MALE,2023,Chaloupe → Colorado,Colorado,Chaloupe,False
997,Antoine COMPAROT,01:31:20,8,MALE,2023,Chaloupe → Colorado,Colorado,Chaloupe,False
2354,Frederic BERRICHON,01:31:30,9,MALE,2023,Chaloupe → Colorado,Colorado,Chaloupe,False
1452,Mael THOMASSIN,01:31:36,10,MALE,2023,Chaloupe → Colorado,Colorado,Chaloupe,False
1038,Maxime JOURDE,01:31:41,11,MALE,2022,Chaloupe → Colorado,Colorado,Chaloupe,False
2734,Mathieu MARECHAL,01:31:51,12,MALE,2024,Chaloupe → Colorado,Colorado,Chaloupe,False
1950,Courtney DAUWALTER,01:35:07,1,FEMALE,2022,Chaloupe → Colorado,Colorado,Chaloupe,False
502,Yanid ARANGO,01:41:48,2,FEMALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
2329,Angelique Victoria LESPORT,01:43:29,3,FEMALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
2741,Johanna ANTILA,01:47:10,4,FEMALE,2025,Chaloupe → Colorado,Colorado,Chaloupe,False
