bib,name,segment_time,rank,sex,year,secteur,end_checkpoint,start_checkpoint,filtrer_valeur_aberrante
7615,Ludivine RABUEL,00:26:48,6,FEMALE,2025,Colorado → La Vigie,La Vigie,Colorado,False
7017,Nambinintsoa RAVAOARISOA,00:27:51,7,FEMALE,2025,Colorado → La Vigie,La Vigie,Colorado,False
7417,Marie PERSÉE,00:28:41,8,FEMALE,2025,Colorado → La Vigie,La Vigie,Colorado,False
7061,Manuella SERY,00:28:51,9,FEMALE,2025,Colorado → La Vigie,La Vigie,Colorado,False
7341,Fanny ROUET,00:29:24,10,FEMALE,2025,Colorado → La Vigie,La Vigie,Colorado,False
7481,Leslie BOURIEL,00:29:48,11,FEMALE,2025,Colorado → La Vigie,La Vigie,Colorado,False
7264,Elodie TIREL UMLAUF,00:30:33,12,FEMALE,2025,Colorado → La Vigie,La Vigie,Colorado,False
7613,Joseph Jean Damien RAVINA,00:17:26,1,MALE,2025,La Vigie → St Denis,St Denis,La Vigie,False
7032,Yoann MARTIN,00:17:49,2,MALE,2025,La Vigie → St Denis,St Denis,La Vigie,False
7503,Christopher CAMACHETTY,00:17:52,3,MALE,2025,La Vigie → St Denis,St Denis,La Vigie,False
7454,Brian FRANÇOIS FILS,00:17:59,4,MALE,2025,La Vigie → St Denis,St Denis,La Vigie,False
7586,Jean Patrice PAYET,00:19:48,5,MALE,2025,La Vigie → St Denis,St Denis,La Vigie,False
7455,Anne Marie JOHN,00:20:08,1,FEMALE,2025,La Vigie → St Denis,St Denis,La Vigie,False
7479,Leo SERCA,00:20:18,6,MALE,2025,La Vigie → St Denis,St Denis,La Vigie,False
7500,Nicolas CHARRETIER,00:20:42,7,MALE,2025,La Vigie → St Denis,St Denis,La Vigie,False
7531,Lucie TRAISSAC,00:21:23,2,FEMALE,2025,La Vigie → St Denis,St Denis,La Vigie,False
7519,Julien HOAREAU,00:21:26,8,MALE,2025,La Vigie → St Denis,St Denis,La Vigie,False
7627,Christophe WAI-LUNE,00:21:29,9,MALE,2025,La Vigie → St Denis,St Denis,La Vigie,False
7196,Marc PUECH,00:21:35,10,MALE,2025,La Vigie → St Denis,St Denis,La Vigie,False
7593,Loïc TOULCANON,00:21:36,11,MALE,2025,La Vigie → St Denis,St Denis,La Vigie,False
7265,Samuel PAYET,00:21:38,12,MALE,2025,La Vigie → St Denis,St Denis,La Vigie,False
7024,Miora RAZANAKOLONA,00:22:19,3,FEMALE,2025,La Vigie → St Denis,St Denis,La Vigie,False
7017,Nambinintsoa RAVAOARISOA,00:23:44,4,FEMALE,2025,La Vigie → St Denis,St Denis,La Vigie,False
7417,Marie PERSÉE,00:24:36,5,FEMALE,2025,La Vigie → St Denis,St Denis,La Vigie,False
7483,Caroline CHEUL,00:24:39,6,FEMALE,2025,La Vigie → St Denis,St Denis,La Vigie,False
7264,Elodie TIREL UMLAUF,00:25:21,7,FEMALE,2025,La Vigie → St Denis,St Denis,La Vigie,False
7096,Claire VILLARD,00:25:28,8,FEMALE,2025,La Vigie → St Denis,St Denis,La Vigie,False
7572,Emma METRO,00:25:31,9,FEMALE,2025,La Vigie → St Denis,St Denis,La Vigie,False
7034,Fabiola FENELON,00:26:29,10,FEMALE,2025,La Vigie → St Denis,St Denis,La Vigie,False
7368,Elsa KNOSP,00:26:42,11,FEMALE,2025,La Vigie → St Denis,St Denis,La Vigie,False
7252,Marie SEROC,00:26:45,12,FEMALE,2025,La Vigie → St Denis,St Denis,La Vigie,False
